Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  R[12]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q12ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m    Q12m
437.584 1.88614 208.069 161.83 1.00806 1.05585 0.1 0.5 0.6 1 1.5 1.9 2.3 2.8 3.4 4.3 4.4 5 5.4 0.0326666 0.108655 0.106909 0.252743 0.233419 0.0779798 0.103362 0.0491789 0.0346457 0.00849994 1.35851e-08 3.06338e-12 5.42361e-12 0.0618733 0.0967952 0.105261 0.239579 0.198996 0.123487 0.0781359 0.0653764 0.0520991 1.73861e-10 0.0342484 3.62094e-12 0
4001.59 17.2482 781.282 735.043 1.02124 2.57313 0.0001 0.6 0.8 1.2 1.6 2.1 2.6 3.2 3.8 4.5 4.9 5.6 6.1 0.0383814 0.242178 0.0638554 0.247406 0.163224 0.111636 0.0643569 0.0571202 4.44535e-09 8.23008e-13 1.91175e-12 1.96685e-11 0.0330765 0.0343097 0.134845 0.0852384 0.333198 0.375379 0.300411 0.037743 0.152585 0.498861 0.47212 0.148444 5.068e-12 0
3995.04 17.22 780.858 734.619 1.02258 2.46401 0.2 0.6 1 1.1 1.5 1.9 2.3 2.9 3.4 3.9 4.6 4.9 6.1 0.0569106 0.214543 0.184998 0.0495463 0.227664 0.0677967 0.101628 0.0549719 0.0320061 1.69309e-14 7.38298e-15 1.249e-14 0.032512 0.0499868 0.123336 0.135979 0.178612 0.369179 0.269803 0.142746 0.0373408 0.192727 0.4559 0.472148 0.0362534 0
4057.98 17.4913 784.906 738.668 1.00284 2.61788 0.1 0.5 0.9 1.2 1.4 1.8 2.3 2.9 3.4 3.9 4.4 4.9 4.9 0.0313886 0.171363 0.251094 2.09519e-07 0.236069 0.108649 0.109084 0.0529473 0.0422455 1.48881e-12 1.27509e-13 1.83409e-13 3.16391e-12 0.0282338 0.108927 0.12889 0.296244 0.146684 0.412555 0.19544 0.0177038 0.214674 0.363826 0.388008 0.316695 0
3995.78 17.2232 780.906 734.667 1.02319 2.71322 0.0001 0.6 0.9 1.3 1.5 2.1 2.7 3.1 3.6 4.2 4.8 4.7 6.2 0.0389657 0.238961 0.129503 0.177519 0.148856 0.145896 0.0538938 0.0355083 0.0198812 1.21403e-13 1.65035e-13 5.81202e-14 0.0342081 0.0350163 0.126068 0.182195 0.166023 0.425992 0.371543 0.0440886 0.0782908 0.382444 0.492911 0.38631 0.0223412 0
3722.87 16.0469 762.583 716.344 0.999571 3.89454 0.0001 0.6 0.8 1.3 1.6 2.1 2.7 3.2 3.9 4.5 4.9 5.5 4.4 0.039815 0.206247 0.134834 0.26444 0.098425 0.138079 0.0458415 0.0430373 0.019757 0.00909551 5.60663e-15 5.55112e-17 6.15276e-11 0.0216298 0.0366595 0.197662 0.323399 0.396066 0.576521 0.224699 0.119677 0.352481 0.614816 0.431772 0.599162 0
3867.85 16.6718 772.478 726.239 1.00849 2.89947 0.0001 0.6 1 1.3 1.6 2 2.5 3.2 3.8 4.4 4.8 5.5 5.8 0.0370418 0.255942 0.137572 0.196509 0.109114 0.114498 0.073938 0.0460067 0.0221101 0.0157569 6.93889e-15 9.15934e-15 2.05391e-14 0.0161248 0.0939728 0.20186 0.192681 0.359998 0.445997 0.20906 0.00270142 0.0738111 0.363172 0.440699 0.499391 0
3992.03 17.207 780.662 734.424 1.0228 2.50937 0.1 0.6 1.1 1.2 1.4 1.8 2.4 3 3.5 4 4.6 4.8 6.1 0.0407624 0.259077 0.225671 6.94657e-09 0.131578 0.159758 0.098635 0.0504941 0.0241074 1.11022e-15 0 0 0.0327167 0.0369003 0.155253 0.31484 9.17122e-11 0.203015 0.427719 0.163156 0.0232722 0.295742 0.400022 0.383078 0.106369 0
422.678 1.82189 199.092 152.854 1.0193 1.0099 0.2 0.6 0.7 1.2 1.4 1.9 2.5 3.1 3.4 4.2 4.4 5.9 7.7 0.0597904 0.0819278 0.208326 0.186745 0.147944 0.164162 0.0980168 0.0271993 0.0242207 0.00629168 6.97969e-12 6.00814e-11 0.0146724 0.0935224 0.0912792 0.159653 0.223623 0.0828156 0.193696 0.0710051 0.0497873 0.00703949 2.13401e-09 0.0205982 0.016883 0
436.044 1.8795 207.156 160.917 1.00857 1.00225 0.2 0.6 1 1.4 1.7 2 2.5 3.2 3.9 4.4 4.6 5.2 5.7 0.0545051 0.215159 0.203866 0.197925 0.07962 0.101051 0.0953729 0.0457392 0.00903017 0.00629693 5.37848e-13 2.77556e-16 3.39362e-12 0.103349 0.149527 0.23539 0.162287 0.0988763 0.0749716 0.11696 0.0304222 0.0281888 2.02506e-11 2.23654e-13 0.00227755 0
