rChi^2    R[1]     R[2]    R[3]    R[4]    R[5]    R[6]    R[7]    R[8]    R[9]    R[10]    R[11]   Q0   Q1   Q2   Q3   Q4   Q5   Q6   Q7   Q8   Q9   Q10   Q11   
8.74821 0.459182 0.842928 1.83009 2.81102 3.53691 4.50325 5.41873 5.58764 6.20672 6.89966 7.64121 8.05618 218.273 125.822 -226.783 -493.744 -205.036 967.873 577.887 92.824 -1696.6 -334.555 2252.13 -1266.63
9.49314 0.973394 1.6712 2.659 3.1598 3.39185 3.9346 4.48829 5.21644 5.78904 6.44826 6.76029 7.21034 975.808 -263.189 -1573.74 -1093.94 -466.795 1755.39 3478.28 -259.133 -5947.59 367.539 5799.56 -2760.61
8.94657 0.990071 1.9282 2.79306 3.34396 3.52286 4.36183 5.00086 5.21008 5.67429 6.64489 7.11623 7.99591 457.96 -191.161 -633.266 -417.884 -221.047 1214.98 1219.22 561.98 -2069.41 -2315.91 3068.35 -662.304
9.04857 0.700385 1.53273 2.27179 3.12506 3.9031 4.46365 4.84656 5.348 5.53256 6.3735 7.12589 7.80951 479.195 -27.2362 -575.323 -764.041 110.061 1050.21 1219.14 8.09895 -854.057 -2756.83 3143.07 -1020.77
7.72194 0.758521 1.59264 2.55339 3.45324 4.10405 4.50022 5.49099 6.37311 6.76888 7.75204 8.60781 9.23111 74.3332 11.9402 -93.7914 -137.984 -36.5389 98.8392 400.805 -88.9124 -360.673 -136.099 582.229 -302.848
9.67546 0.47718 1.33626 1.70207 2.01987 2.94242 3.20304 3.53922 4.5084 5.31939 6.276 6.53445 7.18286 1536.06 -54.0031 -852.658 -1455.61 -1223.06 -271.332 1532.64 5104.79 -6092.11 -3429.78 7019 -1802.32
9.85987 0.301349 1.26998 1.5933 2.33481 3.07891 3.80106 3.88783 4.32465 4.58944 5.43103 6.42612 6.82914 1660.31 -147.399 -903.908 -2215.24 -1422.79 1648.42 1991.07 2546.92 1313.92 -9052.8 8912.77 -4319.63
8.79329 0.821585 1.48188 2.30256 2.9895 3.76456 4.5231 4.96113 5.54861 6.32174 6.45001 7.22175 8.19222 296.628 55.7646 -323.976 -505.757 -180.451 664.536 916.709 151.365 -1403.02 -1296.93 2123.78 -487.178
9.41576 0.68402 1.22954 2.12076 2.34688 3.19361 3.72209 4.43313 4.79311 5.78908 6.46124 6.83251 7.35854 727.086 226.043 -751.805 -932.744 -689.262 440.346 1961.01 1553.77 -4951.94 -492.649 4912.63 -1990.91
8.70702 0.90559 1.62974 2.51639 3.40412 4.35223 5.23587 5.54937 5.7782 6.69891 7.1908 7.41507 8.18279 316.399 -17.4041 -480.795 -454.537 711.915 1010.14 143.778 -792.096 -2201.06 508.873 1921.3 -655.053
9.63683 0.973746 1.94004 2.10918 2.6174 3.43496 4.28367 5.11105 5.32391 6.04843 6.49495 6.75899 7.01213 1654.04 -740.751 -1113.66 -1711.51 272.308 4640.43 137.521 -3045.24 -5604.9 4571.15 6270.04 -5317.83
